K,Ks1_K,Ks2_K,Ks3_K,Ks1,Ks2,Ks3
1,57.1557,66.1027,68.6803,50.7663,65.3065,69.8945
2,57.8921,67.5159,69.7154,50.7663,65.3065,69.8945
3,59.2556,66.9686,71.2082,50.7663,65.3065,69.8945
4,60.211,69.3173,71.9347,50.7663,65.3065,69.8945
5,60.7385,69.8547,73.338,50.7663,65.3065,69.8945
6,61.246,71.2082,74.1242,50.7663,65.3065,69.8945
7,62.4005,72.0243,74.0744,50.7663,65.3065,69.8945
8,61.9825,70.9494,74.2635,50.7663,65.3065,69.8945
9,61.9029,72.492,75.4976,50.7663,65.3065,69.8945
10,62.4701,72.1039,74.9701,50.7663,65.3065,69.8945
11,62.5597,72.8006,74.9602,50.7663,65.3065,69.8945
12,61.3654,71.5565,75.5971,50.7663,65.3065,69.8945
