epoch,Conv2d_Train_Loss,Conv2d_Test_Loss,ConvNN_Train_Loss,ConvNN_Test_Loss
1,1.46782091,1.14069466,1.63705432,1.35694794
2,1.03512186,0.97794393,1.33852563,1.23542237
3,0.80405215,1.07141053,1.21325618,1.21986958
4,0.62010507,1.03230494,1.12812173,1.14668709
5,0.43033992,1.08208405,1.05991883,1.04539699
6,0.29745755,1.2677481,1.00587731,1.02915142
7,0.19945331,1.402991,0.9537479,0.98372989
8,0.15183015,1.5479656,0.9150622,0.98036214
9,0.10724516,1.67506631,0.87671819,0.98263937
10,0.10061571,1.79099857,0.84609978,0.94317886
11,0.08142835,1.8459209,0.80440657,0.92307066
12,0.0656497,1.90072188,0.77227989,0.93072638
13,0.05975255,1.95835439,0.74038571,0.87791615
14,0.05921118,1.92223925,0.70878594,0.87688044
15,0.05336296,1.93314006,0.68271386,0.88117725
16,0.04496608,1.95913508,0.65281468,0.86911463
17,0.03882444,2.10703317,0.62810981,0.86957399
18,0.04348811,2.03128999,0.60590756,0.85970678
19,0.03795963,2.03974858,0.57724029,0.86551415
20,0.03578034,2.08417776,0.55177089,0.86871234
21,0.02927135,2.09195154,0.53133835,0.87488212
22,0.02755324,2.1388815,0.5161825,0.86604379
23,0.0351965,2.07445427,0.49807918,0.87278087
24,0.02816531,2.10771787,0.47278426,0.8694996
25,0.02617836,2.06615079,0.45322318,0.86618668
26,0.02229563,2.18007177,0.43315602,0.87749321
27,0.01945055,2.17947152,0.41309628,0.88648747
28,0.02141519,2.16038634,0.39988131,0.88406353
29,0.01977703,2.19763153,0.3824667,0.91581415
30,0.02011247,2.18048965,0.37058206,0.90576828
31,0.0151859,2.20622294,0.35461369,0.92286709
32,0.02015649,2.25247304,0.33568824,0.92525551
33,0.01661936,2.30477501,0.32145482,0.92153825
34,0.01271608,2.39844467,0.30929284,0.93719149
35,0.01574465,2.37996873,0.29631284,0.94844637
36,0.01549869,2.26971558,0.28807459,0.95987471
37,0.014552,2.27117435,0.26925973,0.99932907
38,0.01157388,2.27859895,0.2662728,0.98736305
39,0.01246086,2.3700964,0.25180732,1.02225593
40,0.01308744,2.33417644,0.24388917,1.0088074
41,0.01148323,2.35285347,0.23608791,1.03219451
42,0.00806492,2.34046934,0.22083978,1.03430442
43,0.00997939,2.46771295,0.21423561,1.06982416
44,0.01052452,2.33853176,0.20098826,1.03867382
45,0.00597191,2.40793564,0.19722338,1.04993995
46,0.00817018,2.40128501,0.19006344,1.07432718
47,0.00810125,2.4485334,0.18370101,1.05783056
48,0.00834012,2.40200709,0.17328184,1.10886716
49,0.00618258,2.51223228,0.16909067,1.10894623
50,0.00840491,2.43083002,0.15743383,1.13702385
51,0.00468744,2.50419182,0.15511744,1.14210192
52,0.00755554,2.52858226,0.14628384,1.1545013
53,0.00555464,2.46908618,0.14509968,1.16036019
54,0.00458766,2.62429889,0.13583473,1.18851684
55,0.0066557,2.57477708,0.13355496,1.19173513
56,0.00560146,2.62021272,0.13108577,1.19555952
57,0.00497367,2.63355656,0.11937323,1.22396003
58,0.00299789,2.65394852,0.12054141,1.21805769
59,0.00423919,2.62953016,0.11851014,1.19923592
60,0.00583716,2.57896043,0.10985119,1.23366282
